"filename", "language", "C++", "Makefile", "Batch", "JSON", "comment", "blank", "total"
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\OneWireTemp\HAL_JSON_OneWireTempGroup.cpp", "C++", -178, 0, 0, 0, -6, -18, -202
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\OneWireTemp\HAL_JSON_OneWireTempGroup.h", "C++", -29, 0, 0, 0, -1, -11, -41
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\REGO600\HAL_JSON_REGO600.cpp", "C++", -102, 0, 0, 0, -3, -10, -115
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\REGO600\HAL_JSON_REGO600.h", "C++", -28, 0, 0, 0, -1, -5, -34
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\REGO600\HAL_JSON_REGO600register.cpp", "C++", -58, 0, 0, 0, -4, -11, -73
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\REGO600\HAL_JSON_REGO600register.h", "C++", -30, 0, 0, 0, -3, -6, -39
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\RF433\HAL_JSON_TX433.cpp", "C++", -90, 0, 0, 0, -3, -14, -107
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\RF433\HAL_JSON_TX433.h", "C++", -25, 0, 0, 0, 0, -7, -32
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\RF433\HAL_JSON_TX433unit.cpp", "C++", -70, 0, 0, 0, -2, -14, -86
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\RF433\HAL_JSON_TX433unit.h", "C++", -31, 0, 0, 0, -6, -10, -47
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON.cpp", "C++", -11, 0, 0, 0, -1, -3, -15
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON.h", "C++", -14, 0, 0, 0, 0, -5, -19
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_ArduinoJSON_ext.cpp", "C++", -100, 0, 0, 0, 0, -13, -113
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_ArduinoJSON_ext.h", "C++", -25, 0, 0, 0, 0, -9, -34
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_CachedDeviceAccess.cpp", "C++", -19, 0, 0, 0, 0, -4, -23
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_CachedDeviceAccess.h", "C++", -23, 0, 0, 0, -2, -6, -31
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_Device.cpp", "C++", -35, 0, 0, 0, 0, -12, -47
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_Device.h", "C++", -62, 0, 0, 0, -5, -17, -84
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_DeviceTypesRegistry.cpp", "C++", -31, 0, 0, 0, -2, -9, -42
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_DeviceTypesRegistry.h", "C++", -22, 0, 0, 0, 0, -8, -30
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_Device_GlobalDefines.h", "C++", -33, 0, 0, 0, -5, -12, -50
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_GPIO_Manager.cpp", "C++", -127, 0, 0, 0, -11, -10, -148
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_GPIO_Manager.h", "C++", -45, 0, 0, 0, -15, -13, -73
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_GPIO_Manager_REST.cpp", "C++", -82, 0, 0, 0, 0, -4, -86
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_GPIO_Manager_REST.h", "C++", -29, 0, 0, 0, 0, -7, -36
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_Manager.cpp", "C++", -237, 0, 0, 0, -27, -33, -297
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_Manager.h", "C++", -40, 0, 0, 0, -7, -14, -61
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_Operations.cpp", "C++", 0, 0, 0, 0, 0, -1, -1
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_Operations.h", "C++", -59, 0, 0, 0, -1, -14, -74
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_REST.cpp", "C++", -228, 0, 0, 0, -26, -22, -276
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_REST.h", "C++", -36, 0, 0, 0, -3, -10, -49
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_UID.cpp", "C++", -59, 0, 0, 0, -7, -10, -76
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_UID.h", "C++", -36, 0, 0, 0, -4, -5, -45
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_UID_Path.cpp", "C++", -110, 0, 0, 0, -4, -11, -125
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_UID_Path.h", "C++", -44, 0, 0, 0, -6, -13, -63
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_Value.cpp", "C++", -91, 0, 0, 0, -13, -27, -131
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\HAL_JSON_Value.h", "C++", -44, 0, 0, 0, -7, -12, -63
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\RuleEngine\HAL_JSON_RULE_Engine.cpp", "C++", -103, 0, 0, 0, -3, -20, -126
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\RuleEngine\HAL_JSON_RULE_Engine.h", "C++", -72, 0, 0, 0, -20, -19, -111
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\RuleEngine\HAL_JSON_RULE_Tokenizer.cpp", "C++", -359, 0, 0, 0, -30, -41, -430
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\RuleEngine\HAL_JSON_RULE_Tokenizer.h", "C++", -38, 0, 0, 0, -11, -8, -57
"Total", "-", -3385, 33, 17, 32, -308, -584, -4195
